Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,Match No
79,151,93,7,3,84.94,1,caught,2,,v Australia,Kuala Lumpur,18 Sep 2006,2417
1,13,7,0,0,14.28,6,lbw,2,,v India,Kuala Lumpur,20 Sep 2006,2419
0,1,1,0,0,0.00,1,lbw,2,,v Australia,Kuala Lumpur,24 Sep 2006,2422
41,48,34,7,1,120.58,1,caught,2,,v Zimbabwe,Ahmedabad,8 Oct 2006,2424
104*,132,118,11,3,88.13,1,not out,2,,v Bangladesh,Jaipur,11 Oct 2006,2426
0,4,5,0,0,0.00,1,caught,1,,v Sri Lanka,Mumbai (BS),14 Oct 2006,2428
24,57,26,4,0,92.30,2,caught,1,,v Australia,Mumbai (BS),18 Oct 2006,2432
34,38,37,7,0,91.89,1,caught,2,,v India,Ahmedabad,26 Oct 2006,2437
101,177,128,10,1,78.90,1,run out,1,,v England,Ahmedabad,28 Oct 2006,2439
133*,197,135,17,3,98.51,1,not out,2,,v South Africa,Jaipur,2 Nov 2006,2442
37,27,27,6,2,137.03,2,bowled,1,,v Australia,Mumbai (BS),5 Nov 2006,2443
0,9,4,0,0,0.00,2,caught,1,,v Pakistan,Faisalabad,7 Dec 2006,2460
41,41,37,7,1,110.81,1,lbw,1,,v Pakistan,Lahore,10 Dec 2006,2463
9,11,14,2,0,64.28,1,bowled,2,,v Pakistan,Multan,13 Dec 2006,2464
7,13,10,1,0,70.00,1,lbw,1,,v Pakistan,Karachi,16 Dec 2006,2466
52,54,46,10,0,113.04,1,caught,2,,v India,Nagpur,21 Jan 2007,2480
5,3,5,1,0,100.00,1,lbw,2,,v India,Cuttack,24 Jan 2007,2485
0,1,1,0,0,0.00,1,lbw,2,,v India,Chennai,27 Jan 2007,2487
6,12,11,1,0,54.54,2,bowled,2,,v India,Vadodara,31 Jan 2007,2493
2,10,6,0,0,33.33,1,caught,1,,v Pakistan,Kingston,13 Mar 2007,2531
40,82,48,3,3,83.33,1,caught,2,,v Zimbabwe,Kingston,19 Mar 2007,2543
18,20,14,3,0,128.57,1,caught,2,,v Ireland,Kingston,23 Mar 2007,2551
2,37,23,0,0,8.69,1,caught,2,,v Australia,North Sound,27 Mar 2007,2555
44,96,56,8,0,78.57,1,bowled,1,,v New Zealand,North Sound,29 Mar 2007,2557
10,23,21,1,0,47.61,1,caught,2,,v Sri Lanka,Providence,1 Apr 2007,2560
32,54,35,3,0,91.42,1,run out,2,,v South Africa,St George's,10 Apr 2007,2567
